0.0,27.7,26.01,33.15,27.7,32.46,35.55,30.42833333333333,18.73059187086007,1932430688164.07,100
0.51,27.7,26.35,33.15,27.36,32.46,35.21,30.371666666666666,20.476753090231057,1932430688164.07,100
1.01,27.7,26.35,33.15,27.36,32.46,35.21,30.371666666666666,21.960990126696398,4018242770564.89,100
1.51,27.7,26.35,33.15,27.36,32.46,34.86,30.313333333333333,23.21384160769194,1932430688164.07,100
2.01,27.7,26.01,33.15,27.36,32.8,35.21,30.371666666666666,24.287515366538145,2740702471794.62,100
2.51,27.7,26.01,33.15,27.7,33.15,35.55,30.543333333333333,25.22588806155742,6132950956638.66,100
3.01,27.7,26.01,33.49,27.7,33.15,35.9,30.658333333333335,26.040754852323804,4018242770564.89,100
3.51,27.7,27.7,33.49,27.36,33.49,35.9,30.94,26.775641624475234,4018242770564.89,100
4.01,27.7,26.01,33.83,27.7,33.49,36.59,30.886666666666667,27.392295380803947,4018242770564.89,100
4.51,27.7,26.69,33.83,27.36,33.83,36.59,31.0,27.933451073683354,2740702471794.62,100
5.01,27.7,27.7,34.18,27.7,34.18,36.93,31.398333333333337,28.453183412630853,4018242770564.89,100
5.51,27.7,26.01,34.52,27.36,34.18,36.93,31.11666666666667,28.852705900736222,4018242770564.89,100
6.01,27.7,26.35,34.52,27.36,34.52,37.62,31.345,29.226550015625786,6132950956638.66,100
6.51,27.7,27.7,34.86,27.7,34.52,37.97,31.741666666666664,29.603817513281914,6132950956638.66,100
7.01,27.7,27.7,34.86,27.36,34.86,37.97,31.741666666666664,29.924494886289626,16805581214514.44,100
7.51,27.7,27.02,35.55,27.36,35.21,38.66,31.916666666666668,30.223320653346182,9837454951294.06,100
8.01,27.7,26.69,35.55,27.7,35.21,38.66,31.918333333333333,30.477572555344256,4018242770564.89,100
8.51,27.7,26.69,35.9,27.36,35.55,39.01,32.035,30.711186672042615,6132950956638.66,100
9.01,27.7,26.01,36.24,27.36,35.55,39.36,32.03666666666667,30.910008671236223,2740702471794.62,100
